task,kind,family,multiple,mean_percent,sd_percent,relative_l2_percent,failures,worst
wave1d,ndde4,new,2,2.1666,0.0922,2.4959,0,12.1221
wave1d,ndde4,new,4,2.3586,0.2220,2.5234,0,15.2355
wave1d,ndde4,new,8,2.4203,0.2423,2.4458,0,19.3462
wave1d,ndde4,shift,1,73.3480,3.5634,59.8993,0,264.9893
wave1d,ndde4,shift,2,69.5842,4.7286,54.9071,0,241.7646
wave1d,ndde4,shift,4,65.0260,4.9975,52.1167,0,223.3048
wave1d,ndde4,shift,8,62.8663,5.6029,50.9590,0,222.7375
wave1d,nie_exp,new,1,7.3742,0.7019,8.4548,0,32.4527
wave1d,nie_exp,new,2,7.6083,0.6215,7.8397,0,29.8658
wave1d,nie_exp,new,4,7.3593,0.7741,7.4779,0,34.6311
wave1d,nie_exp,new,8,7.5188,0.9245,7.4907,0,38.0903
wave1d,nie_exp,shift,1,76.4474,0.2387,69.9829,0,212.0728
wave1d,nie_exp,shift,2,70.2304,0.4332,60.3132,0,193.4174
wave1d,nie_exp,shift,4,65.4595,0.2571,56.5253,0,160.1038
wave1d,nie_exp,shift,8,62.9340,0.1878,54.9166,0,162.4210
wave1d,nie_fourier,new,1,4.3814,0.2154,5.0518,0,16.0347
wave1d,nie_fourier,new,2,14.0689,0.7652,14.9574,0,42.4607
wave1d,nie_fourier,new,4,27.6769,2.6696,27.0443,0,80.2091
wave1d,nie_fourier,new,8,37.0351,3.9617,35.4350,0,95.8968
wave1d,nie_fourier,shift,1,64.8647,1.0606,55.1288,0,223.9002
wave1d,nie_fourier,shift,2,65.4867,0.3522,52.1649,0,208.2661
wave1d,nie_fourier,shift,4,67.0305,0.4932,54.2406,0,191.5979
wave1d,nie_fourier,shift,8,67.6108,0.8818,55.7827,0,189.7139
wave1d,nie_mlp,new,1,3.0753,0.3319,3.4228,0,10.1292
wave1d,nie_mlp,new,2,2.7798,0.2249,2.7645,0,9.9051
